City: Herat	Coordinates: 34.3508273, 62.2164003
City: Ciney	Coordinates: 50.2964911, 5.1008664
City: Clavier	Coordinates: 44.9387991, 6.7502942
City: Colfontaine	Coordinates: 50.4056635, 3.8513958
City: Comblain-Au-Pont	Coordinates: 50.4756986, 5.5748498
City: Comines-Warneton	Coordinates: 50.7683055, 3.0001175
City: Courcelles	Coordinates: 48.3732096, 6.0376277
City: Court-Saint-Etienne	Coordinates: 50.6443208, 4.5685766
City: Couvin	Coordinates: 50.0524906, 4.4955009
City: Crisnee	Coordinates: 50.715885, 5.397318
City: Dalhem	Coordinates: 50.7139302, 5.7229816
City: Damme	Coordinates: 51.2553021, 3.2920911130761956
City: Daverdisse	Coordinates: 50.0214939, 5.1183374
City: De Haan	Coordinates: 51.26711375, 3.040837568315692
City: De Panne	Coordinates: 51.0988314, 2.5924087
City: De Pinte	Coordinates: 50.9924205, 3.6495958
City: Deerlijk	Coordinates: 50.83940065, 3.3627926635249863
City: Deinze	Coordinates: 50.9840526, 3.5274017
City: Denderleeuw	Coordinates: 50.88813845, 4.062511248890271
City: Dendermonde	Coordinates: 51.0312293, 4.098112
City: Dentergem	Coordinates: 50.96616075, 3.401986033802248
City: Dessel	Coordinates: 51.2395713, 5.113243
City: Destelbergen	Coordinates: 51.0556204, 3.7978887
City: Diepenbeek	Coordinates: 50.9078485, 5.4200307
City: Diest	Coordinates: 50.98456645, 5.052873496255041
City: Diksmuide	Coordinates: 51.0333408, 2.8647185
City: Dilbeek	Coordinates: 50.8480711, 4.2662591
City: Dilsen-Stokkem	Coordinates: 51.0284779, 5.7311405
City: Dinant	Coordinates: 50.2591813, 4.9130588
City: Dison	Coordinates: 50.611374, 5.854735
City: Doische	Coordinates: 50.1357152, 4.7458219
City: Donceel	Coordinates: 50.6478971, 5.3199408
City: Dour	Coordinates: 50.3963781, 3.7786762
City: Drogenbos	Coordinates: 50.786532, 4.3173542
City: Duffel	Coordinates: 51.0957176, 4.5061988
City: Durbuy	Coordinates: 50.3524116, 5.456248
City: Ecaussinnes	Coordinates: 50.56110445, 4.170413839684581
City: Edegem	Coordinates: 51.1548066, 4.4458312
City: Eeklo	Coordinates: 51.1844827, 3.5665965
City: Eghezee	Coordinates: 50.5917416, 4.9049523
City: Ellezelles	Coordinates: 50.7287148, 3.6942082437481734
City: Enghien	Coordinates: 50.69282045, 4.038373024238238
City: Engis	Coordinates: 50.56261935, 5.388190648822447
City: Erezee	Coordinates: 50.2930558, 5.5597642
City: Erpe-Mere	Coordinates: 50.9226391, 3.9459888
City: Erquelinnes	Coordinates: 50.3030663, 4.158586422257155
City: Esneux	Coordinates: 50.533588, 5.5686219
City: Essen	Coordinates: 51.4582235, 7.0158171
City: Estaimpuis	Coordinates: 50.7059794, 3.2640184
City: Estinnes	Coordinates: 50.380376749999996, 4.115098088803679
City: Etalle	Coordinates: 49.6729527, 5.5982415
City: Etterbeek	Coordinates: 50.8361447, 4.3861737
City: Eupen	Coordinates: 50.6305665, 6.0312717
City: Evere	Coordinates: 50.8720096, 4.4034182
City: Evergem	Coordinates: 51.1187231, 3.705820038711427
City: Faimes	Coordinates: 50.6652169, 5.2627409
City: Farciennes	Coordinates: 50.43209235, 4.546797831198054
City: Fauvillers	Coordinates: 49.8509306, 5.665031
City: Fernelmont	Coordinates: 50.5542257, 4.9973659
City: Ferrieres	Coordinates: 49.590023, 2.515821
City: Fexhe-Le-Haut-Clocher	Coordinates: 50.6643107, 5.3993831
City: Flemalle	Coordinates: 50.5994478, 5.4699616
City: Fleron	Coordinates: 50.6168354, 5.6832219
City: Fleurus	Coordinates: 50.482944, 4.549699
City: Flobecq	Coordinates: 50.755499900000004, 3.73132379655172
City: Floreffe	Coordinates: 50.4366874, 4.7600394
City: Florennes	Coordinates: 50.2514227, 4.6030187
City: Florenville	Coordinates: 49.6993182, 5.3100518
City: Fontaine-L'Eveque	Coordinates: 50.4117794, 4.3246322
City: Forest	Coordinates: 41.5329762, -79.2640912
City: Fosses-La-Ville	Coordinates: 50.3959512, 4.6978935
City: Frameries	Coordinates: 50.4096511, 3.8933015
City: Frasnes-Lez-Anvaing	Coordinates: 50.680837249999996, 3.623539277958874
City: Froidchapelle	Coordinates: 50.1627515, 4.326601724615372
City: Galmaarden	Coordinates: 50.757301299999995, 3.9568999959619333
City: Ganshoren	Coordinates: 50.8703273, 4.307798
City: Gavere	Coordinates: 50.9292335, 3.6614192
City: Gedinne	Coordinates: 49.9792667, 4.9388966
City: Geel	Coordinates: 51.1610826, 4.9903187
City: Geer	Coordinates: 50.6684881, 5.1710529
City: Geetbets	Coordinates: 50.8917946, 5.1144682
City: Gembloux	Coordinates: 50.5597273, 4.6943126
City: Genappe	Coordinates: 50.6108733, 4.4510726
City: Genk	Coordinates: 50.9654864, 5.5001456
City: Geraardsbergen	Coordinates: 50.7715779, 3.8827287
City: Gerpinnes	Coordinates: 50.346927449999995, 4.527601444409136
City: Gesves	Coordinates: 50.4028535, 5.0776175
City: Ghent	Coordinates: 51.0538286, 3.7250121
City: Gingelom	Coordinates: 50.751534750000005, 5.132409812775332
City: Gistel	Coordinates: 51.1542785, 2.961541
City: Glabbeek	Coordinates: 50.8725203, 4.9513009
City: Gooik	Coordinates: 50.797996749999996, 4.101871727888091
City: Gouvy	Coordinates: 50.1857409, 5.9428
City: Grace-Hollogne	Coordinates: 50.6323039, 5.4768436
City: Grez-Doiceau	Coordinates: 50.7386182, 4.6962324
City: Grimbergen	Coordinates: 50.9457843, 4.38909669976362
City: Grobbendonk	Coordinates: 51.1919904, 4.7385027
City: Haacht	Coordinates: 50.9769474, 4.6383121
City: Haaltert	Coordinates: 50.887393349999996, 3.9904300285117014
City: Habay	Coordinates: 49.7356402, 5.592928298869271
City: Halen	Coordinates: 50.938225700000004, 5.107379955413343
City: Halle	Coordinates: 51.4825041, 11.9705452
City: Ham	Coordinates: 49.746322, 3.0733031
City: Ham-Sur-Heure-Nalinnes	Coordinates: 50.32592795, 4.414523504903954
City: Hamme	Coordinates: 51.0881545, 4.120284129818323
City: Hamoir	Coordinates: 50.4254063, 5.5326084
City: Hamois	Coordinates: 50.3408694, 5.1594475
City: Hamont-Achel	Coordinates: 51.2547636, 5.5128696
City: Hannut	Coordinates: 50.6724649, 5.0779916
City: Harelbeke	Coordinates: 50.844609649999995, 3.3093356109453165
City: Hasselt	Coordinates: 50.9303735, 5.3378043
City: Hastiere	Coordinates: 50.1969874, 4.822430351418182
City: Havelange	Coordinates: 50.3870946, 5.23958
City: Hechtel-Eksel	Coordinates: 51.1340192, 5.3780119
City: Heers	Coordinates: 50.747246849999996, 5.304934039603534
City: Heist-Op-Den-Berg	Coordinates: 51.06251575, 4.71943107216415
City: Helecine	Coordinates: 50.7514034, 4.9822395
City: Hemiksem	Coordinates: 51.1430192, 4.3409826
City: Hensies	Coordinates: 50.4328388, 3.6847215
City: Herbeumont	Coordinates: 49.7815364, 5.2377736
City: Herent	Coordinates: 50.912473399999996, 4.6517147625934285
City: Herentals	Coordinates: 51.1765426, 4.8362595
City: Herenthout	Coordinates: 51.1392427, 4.7543972
City: Herk-De-Stad	Coordinates: 50.922291099999995, 5.188430186895337
City: Herne	Coordinates: 51.5380394, 7.219985
City: Heron	Coordinates: 50.5508203, 5.0971783
City: Herselt	Coordinates: 51.05545425, 4.901813504931004
City: Herstal	Coordinates: 50.6650412, 5.629981
City: Herstappe	Coordinates: 50.7273829, 5.4260923
City: Herve	Coordinates: 50.63916, 5.7931012
City: Herzele	Coordinates: 50.870107000000004, 3.89902812063107
City: Heusden-Zolder	Coordinates: 51.0233485, 5.2750485
City: Heuvelland	Coordinates: 50.773569, 2.8326917
City: Hoegaarden	Coordinates: 50.787910249999996, 4.880968285136069
City: Hoeilaart	Coordinates: 50.7674846, 4.474407
City: Hoeselt	Coordinates: 50.8500788, 5.4865309
City: Holsbeek	Coordinates: 50.9217453, 4.755742734752918
City: Honnelles	Coordinates: 50.352089, 3.731019
City: Hooglede	Coordinates: 50.9785478, 3.0823431
City: Hoogstraten	Coordinates: 51.39573015, 4.744087183464012
City: Horebeke	Coordinates: 50.8348628, 3.6920346
City: Hotton	Coordinates: 50.2688011, 5.4463304
City: Houffalize	Coordinates: 50.1323761, 5.7886928
City: Houthalen-Helchteren	Coordinates: 51.0467933, 5.3780416
City: Houthulst	Coordinates: 50.973812249999995, 2.943856800994059
City: Houyet	Coordinates: 50.1868629, 5.0067044
City: Hove	Coordinates: 50.8286917, -0.1745744
City: Huldenberg	Coordinates: 50.7892736, 4.5833958
City: Hulshout	Coordinates: 51.0749541, 4.796794688834951
City: Huy	Coordinates: 50.5180856, 5.2408138
City: Ichtegem	Coordinates: 51.08743265, 3.029462506474408
City: Ieper	Coordinates: 50.85169675, 2.891473683275896
City: Incourt	Coordinates: 50.39081, 2.15181
City: Ingelmunster	Coordinates: 50.92169095, 3.263136702154667
City: Ittre	Coordinates: 50.6501961, 4.2637077
City: Ixelles	Coordinates: 50.8331141, 4.3668279
City: Izegem	Coordinates: 50.9137743, 3.209106585214543
City: Jabbeke	Coordinates: 51.1823049, 3.0934604
City: Jalhay	Coordinates: 50.5592528, 5.9647526
City: Jemeppe-Sur-Sambre	Coordinates: 50.462994699999996, 4.654598748525526
City: Jette	Coordinates: 50.8759585, 4.3245702
City: Jodoigne	Coordinates: 50.724179, 4.8679997
City: Juprelle	Coordinates: 50.7112425, 5.5265882
City: Jurbise	Coordinates: 50.52212595, 3.9078668952232247
City: Kalmthout	Coordinates: 51.3832723, 4.4763255
City: Kampenhout	Coordinates: 50.949244050000004, 4.571163087369371
City: Kapelle-Op-Den-Bos	Coordinates: 51.01237055, 4.358044605446565
City: Kapellen	Coordinates: 51.3324502, 4.430583785863899
City: Kaprijke	Coordinates: 51.2185075, 3.6190769
City: Kasterlee	Coordinates: 51.248944550000004, 4.989181503091067
City: Keerbergen	Coordinates: 51.0037524, 4.6290719
City: Kelmis	Coordinates: 50.7154957, 6.013341
City: Kinrooi	Coordinates: 51.14313325, 5.74147764743353
City: Kleine Brogel	Coordinates: 51.1725458, 5.4520263
City: Kluisbergen	Coordinates: 50.7782986, 3.5212498
City: Knesselare	Coordinates: 51.1392692, 3.412339
City: Knokke-Heist	Coordinates: 51.335820299999995, 3.3058781238507446
City: Koekelare	Coordinates: 51.09117955, 2.968240338354084
City: Koekelberg	Coordinates: 50.8606042, 4.3315503
City: Koksijde	Coordinates: 51.1187723, 2.6349277
City: Kontich	Coordinates: 51.1353297, 4.4454784
City: Kortemark	Coordinates: 51.0314599, 3.036868308654011
City: Kortenaken	Coordinates: 50.906611, 5.0622937
City: Kortenberg	Coordinates: 50.895358099999996, 4.565683393303372
City: Kortessem	Coordinates: 50.859243, 5.3872669
City: Kortrijk	Coordinates: 50.8276429, 3.2659884
City: Kraainem	Coordinates: 50.8425698, 4.469203440443001
City: Kruibeke	Coordinates: 51.17625475, 4.298036873275151
City: Kruishoutem	Coordinates: 50.92045875, 3.5212265368550506
City: Kuurne	Coordinates: 50.85970945, 3.2733215351150196
City: La Bruyere	Coordinates: 47.83, 6.48491
City: La Hulpe	Coordinates: 50.7313729, 4.4893987
City: La Louviere	Coordinates: 50.479487, 4.1852682
City: La Roche-En-Ardenne	Coordinates: 50.1602833, 5.562759403213439
City: Laakdal	Coordinates: 51.0802695, 5.0073022
City: Laarne	Coordinates: 51.0406809, 3.8599035400346695
City: Lanaken	Coordinates: 50.8892784, 5.6513208
City: Landen	Coordinates: 51.5073359, -0.12765
City: Langemark-Poelkapelle	Coordinates: 50.9122567, 2.9338635
City: Lasne	Coordinates: 50.6860037, 4.4844157
City: Le Roeulx	Coordinates: 50.504929950000005, 4.091764891424212
City: Lebbeke	Coordinates: 51.0004013, 4.1307711
City: Lede	Coordinates: 50.9698619, 3.987875782018607
City: Ledegem	Coordinates: 50.868978549999994, 3.1176025915050873
City: Leglise	Coordinates: 49.8003582, 5.5381496
City: Lendelede	Coordinates: 50.88542005, 3.231097075518136
City: Lennik	Coordinates: 50.8085632, 4.1648626
City: Lens	Coordinates: 50.4291723, 2.8319805
City: Leopoldsburg	Coordinates: 51.1220584, 5.26393943423483
City: Les Bons Villers	Coordinates: 50.52042405, 4.463110137558774
City: Lessines	Coordinates: 50.7123036, 3.8301131
City: Leuven	Coordinates: 50.879202, 4.7011675
City: Leuze-En-Hainaut	Coordinates: 50.597156049999995, 3.627393779864556
City: Libin	Coordinates: 49.9809464, 5.2569017
City: Libramont-Chevigny	Coordinates: 49.94990995, 5.437089151361523
City: Lichtervelde	Coordinates: 51.0274096, 3.1402247
City: Liedekerke	Coordinates: 50.8711313, 4.0860754
City: Liege	Coordinates: 50.6450944, 5.5736112
City: Lier	Coordinates: 51.131069, 4.5696516
City: Lierde	Coordinates: 50.8064253, 3.8361032273588913
City: Lierneux	Coordinates: 50.2858086, 5.7921558
City: Lille	Coordinates: 50.6365654, 3.0635282
City: Limbourg	Coordinates: 50.6122761, 5.9402987
City: Lincent	Coordinates: 50.71209455, 5.033476027763825
City: Linkebeek	Coordinates: 50.7732003, 4.3359991
City: Lint	Coordinates: 51.1268305, 4.4922187
City: Linter	Coordinates: 50.8291537, 5.0409717
City: Lo-Reninge	Coordinates: 50.9638066, 2.7643391
City: Lobbes	Coordinates: 50.35415555, 4.238652470459903
City: Lochristi	Coordinates: 51.097928350000004, 3.835561373149549
City: Lokeren	Coordinates: 51.1044488, 3.9898689
City: Lommel	Coordinates: 51.2305657, 5.3076895
City: Londerzeel	Coordinates: 51.0021194, 4.3028049
City: Lontzen	Coordinates: 50.680409, 6.0072347
City: Lovendegem	Coordinates: 51.0956807, 3.6076129
City: Lubbeek	Coordinates: 50.8821422, 4.838443075812412
City: Lummen	Coordinates: 51.00281805, 5.197732465699214
City: Maarkedal	Coordinates: 50.7973072, 3.642779
City: Maaseik	Coordinates: 51.0947181, 5.791733
City: Maasmechelen	Coordinates: 50.9635024, 5.696445
City: Machelen	Coordinates: 50.901520649999995, 4.446784480895417
City: Maldegem	Coordinates: 51.2088871, 3.4452214
City: Malle	Coordinates: 51.2970123, 4.6933094
City: Malmedy	Coordinates: 50.4265348, 6.0276059
City: Manage	Coordinates: 50.5040159, 4.2355599
City: Manhay	Coordinates: 50.29305, 5.6761462
City: Marche-En-Famenne	Coordinates: 50.2265147, 5.3407365
City: Marchin	Coordinates: 50.4802051, 5.2263372
City: Martelange	Coordinates: 49.814911699999996, 5.7268150473328365
City: Mechelen	Coordinates: 51.0281381, 4.4803453
City: Meerhout	Coordinates: 51.1317433, 5.0772388
City: Meeuwen-Gruitrode	Coordinates: 51.08785375, 5.5962346214024645
City: Meise	Coordinates: 50.9341625, 4.3287322
City: Meix-Devant-Virton	Coordinates: 49.6055933, 5.4816156
City: Melle	Coordinates: 44.5620476, 7.32049
City: Menen	Coordinates: 50.7937353, 3.167040611100269
City: Merbes-Le-Chateau	Coordinates: 50.3234814, 4.182272740040176
City: Merchtem	Coordinates: 50.9593636, 4.2335677
City: Merelbeke	Coordinates: 50.995756150000005, 3.74567419991459
City: Merksplas	Coordinates: 51.3579924, 4.8627355
City: Mesen	Coordinates: 50.759652599999995, 2.9001214234264494
City: Messancy	Coordinates: 49.5949862, 5.8145736
City: Mettet	Coordinates: 50.3212094, 4.6584949
City: Meulebeke	Coordinates: 50.94858225, 3.286389945227539
City: Middelkerke	Coordinates: 51.183316950000005, 2.806352008124807
City: Modave	Coordinates: 50.4416137, 5.3017936
City: Moerbeke	Coordinates: 50.6918534, 2.5155576
City: Mol	Coordinates: 41.684672, 14.595614
City: Momignies	Coordinates: 50.0087898, 4.2142084834115705
City: Mons	Coordinates: 50.4549568, 3.951958
City: Mont-De-L'Enclus	Coordinates: 50.7456511, 3.5110542
City: Mont-Saint-Guibert	Coordinates: 50.6365628, 4.6127019
City: Montigny-Le-Tilleul	Coordinates: 50.3791631, 4.3796745
City: Moorslede	Coordinates: 50.89008225, 3.0732110598481244
City: Morlanwelz	Coordinates: 50.4509843, 4.2523562
City: Mortsel	Coordinates: 51.1704119, 4.4566996
City: Mouscron	Coordinates: 50.7436672, 3.2142729
City: Musson	Coordinates: 49.5580794, 5.705881
City: Namur	Coordinates: 50.4665284, 4.8661892
City: Nandrin	Coordinates: 50.5162261, 5.399256390627551
City: Nassogne	Coordinates: 50.1287359, 5.3418985
City: Nazareth	Coordinates: 32.7066301, 35.3048161
City: Neerpelt	Coordinates: 51.22923665, 5.442758968143485
City: Neufchateau	Coordinates: 48.3553014, 5.6948571
City: Neupre	Coordinates: 50.5431751, 5.4901079
City: Nevele	Coordinates: 51.0330372, 3.5491068
City: Niel	Coordinates: 51.1098649, 4.3303396
City: Nieuwerkerken	Coordinates: 50.87441565, 5.190960177508574
City: Nieuwpoort	Coordinates: 51.1294306, 2.751666
City: Nijlen	Coordinates: 51.1611887, 4.670951731704948
City: Ninove	Coordinates: 50.8214549, 4.0037422031066825
City: Nivelles	Coordinates: 50.5976885, 4.3235854
City: Ohey	Coordinates: 50.4359066, 5.1238439
City: Olen	Coordinates: 51.1438611, 4.8597257
City: Olne	Coordinates: 50.5901199, 5.7479948
City: Onhaye	Coordinates: 50.2435657, 4.840864
City: Oosterzele	Coordinates: 50.9456388, 3.8032713
City: Oostkamp	Coordinates: 51.1532024, 3.2344535
City: Oostrozebeke	Coordinates: 50.93434535, 3.3468206372996305
City: Opglabbeek	Coordinates: 51.0429949, 5.581962
City: Opwijk	Coordinates: 50.9690529, 4.1896665
City: Oreye	Coordinates: 50.7291681, 5.3530675
City: Orp-Jauche	Coordinates: 50.7001001, 4.9889872
City: Ostend	Coordinates: 51.2258565, 2.919496
City: Ottignies-Louvain-La-Neuve	Coordinates: 50.6654216, 4.5674107
City: Oud-Heverlee	Coordinates: 50.8376275, 4.6629253
City: Oud-Turnhout	Coordinates: 51.3178319, 4.9817086
City: Oudenaarde	Coordinates: 50.8433705, 3.6041443
City: Oudenburg	Coordinates: 51.1841877, 3.0049405
City: Oudergem	Coordinates: 50.8171712, 4.4270852
City: Ouffet	Coordinates: 50.4377341, 5.4653273
City: Oupeye	Coordinates: 50.7091889, 5.6450671
City: Overijse	Coordinates: 50.7701622, 4.5351806
City: Overpelt	Coordinates: 51.2113458, 5.422976
City: Paliseul	Coordinates: 49.9035269, 5.1349041
City: Pecq	Coordinates: 50.684980350000004, 3.352801736705872
City: Peer	Coordinates: 51.10874, 5.449157219006136
City: Pepingen	Coordinates: 50.7598483, 4.1576993
City: Pepinster	Coordinates: 50.5675217, 5.8037101
City: Peruwelz	Coordinates: 50.5332377, 3.563666973581828
City: Perwez	Coordinates: 50.6234469, 4.8134719
City: Philippeville	Coordinates: 50.196268, 4.5436078
City: Pittem	Coordinates: 50.999983799999995, 3.262254771517394
City: Plombieres	Coordinates: 50.7377318, 5.9611134
City: Pont-A-Celles	Coordinates: 50.51552395, 4.3827158869125675
City: Poperinge	Coordinates: 50.8556646, 2.7264961
City: Profondeville	Coordinates: 50.3762043, 4.8675024
City: Putte	Coordinates: 51.0570823, 4.6310473
City: Puurs	Coordinates: 51.0762086, 4.2817075
City: Quaregnon	Coordinates: 50.43502475, 3.8643685047101846
City: Quevy	Coordinates: 50.3677506, 3.96685223641696
City: Quievrain	Coordinates: 50.4048739, 3.6829049
City: Raeren	Coordinates: 50.6761305, 6.1108404
City: Ramillies	Coordinates: 50.2060873, 3.2610415
City: Ranst	Coordinates: 51.1897015, 4.5633
City: Ravels	Coordinates: 51.3799481, 5.020006396691279
City: Rebecq	Coordinates: 50.67355825, 4.135027550319423
City: Remicourt	Coordinates: 48.9511285, 4.8758011
City: Rendeux	Coordinates: 50.21436665, 5.522222064587313
City: Retie	Coordinates: 51.2675862, 5.0843883
City: Riemst	Coordinates: 50.8115825, 5.5978716
City: Rijkevorsel	Coordinates: 51.3503707, 4.758514
City: Rixensart	Coordinates: 50.7122566, 4.5216218
City: Rochefort	Coordinates: 45.9366592, -0.9616399
City: Roeselare	Coordinates: 50.9444948, 3.124765
City: Ronse	Coordinates: 50.7526199, 3.6014476899065855
City: Roosdaal	Coordinates: 50.8341383, 4.0972238
City: Rotselaar	Coordinates: 50.9514713, 4.7094054
City: Rouvroy	Coordinates: 50.393427, 2.9036734
City: Ruiselede	Coordinates: 51.0630592, 3.3787805823544046
City: Rumes	Coordinates: 50.542368350000004, 3.317618739742755
City: Rumst	Coordinates: 51.0792853, 4.4240472
City: Saint-Georges-Sur-Meuse	Coordinates: 50.6000654, 5.3584259
City: Saint-Ghislain	Coordinates: 50.4477484, 3.8195241
City: Saint-Josse-Ten-Noode	Coordinates: 50.8508197, 4.3691634
City: Saint-Leger	Coordinates: 50.1863917, 2.8583578
City: Saint-Nicolas	Coordinates: 50.3022047, 2.7767966
City: Sainte-Ode	Coordinates: 50.016676149999995, 5.559514064137734
City: Sambreville	Coordinates: 50.4495194, 4.6043769
City: Sankt Vith	Coordinates: 50.2803881, 6.1258953
City: Schaerbeek	Coordinates: 50.8676041, 4.3737121
City: Schelle	Coordinates: 51.1245635, 4.3361875
City: Scherpenheuvel-Zichem	Coordinates: 50.9801033, 4.9740173
City: Schilde	Coordinates: 51.257095, 4.595518213176632
City: Schoten	Coordinates: 51.2516344, 4.4980446
City: Seneffe	Coordinates: 50.5292555, 4.2566988
City: Seraing	Coordinates: 50.6152381, 5.5089437
City: Silly	Coordinates: 50.6431888, 3.9425915882305116
City: Sint-Agatha-Berchem	Coordinates: 50.8649231, 4.2946734
City: Sint-Amands	Coordinates: 51.04638405, 4.2109783976113215
City: Sint-Genesius-Rode	Coordinates: 50.74503, 4.3463687
City: Sint-Gillis	Coordinates: 50.8249958, 4.3454841
City: Sint-Gillis-Waas	Coordinates: 51.2179895, 4.1286101
City: Sint-Jans-Molenbeek	Coordinates: 50.8545959, 4.338636
City: Sint-Katelijne-Waver	Coordinates: 51.06232435, 4.511427814014689
City: Sint-Lambrechts-Woluwe	Coordinates: 50.8430448, 4.4256732
City: Sint-Laureins	Coordinates: 51.2417048, 3.5238418
City: Sint-Lievens-Houtem	Coordinates: 50.9204857, 3.8589196
City: Sint-Martens-Latem	Coordinates: 51.020971, 3.6397549
City: Sint-Niklaas	Coordinates: 51.1646685, 4.1395124
City: Sint-Pieters-Leeuw	Coordinates: 50.781183549999994, 4.245218617306429
City: Sint-Pieters-Woluwe	Coordinates: 50.8370253, 4.4274636
City: Sint-Truiden	Coordinates: 50.82694775, 5.203424911603399
City: Sivry-Rance	Coordinates: 50.16760105, 4.211815517777554
City: Soignies	Coordinates: 50.579203, 4.0685604
City: Sombreffe	Coordinates: 50.5225432, 4.5991932
City: Somme-Leuze	Coordinates: 50.313722850000005, 5.3212256980329204
City: Soumagne	Coordinates: 50.6147718, 5.739941
City: Spa	Coordinates: 50.4920654, 5.8627569
City: Spiere-Helkijn	Coordinates: 50.7279919, 3.3667739
City: Sprimont	Coordinates: 50.5065636, 5.646657076291905
City: St. Hubert	Coordinates: 49.222747, 6.3331945
City: Stabroek	Coordinates: 51.3326535, 4.3680664
City: Staden	Coordinates: 55.67573695, 12.607570747540278
City: Stavelot	Coordinates: 50.3942409, 5.9310335
City: Steenokkerzeel	Coordinates: 50.9093488, 4.5110471
City: Stekene	Coordinates: 51.2062265, 4.0396925
City: Stoumont	Coordinates: 50.4069504, 5.80836
City: Tellin	Coordinates: 50.081019, 5.216837
City: Temse	Coordinates: 51.1253635, 4.2133313
City: Tenneville	Coordinates: 50.0995825, 5.497465184536786
City: Ternat	Coordinates: 47.9058525, 5.1266052
City: Tervuren	Coordinates: 50.8241883, 4.5138824
